Date,Forecasted Prices (USD)
2022-10-24,125.30657524307375
2022-10-25,127.09249659732475
2022-10-26,128.78802107771273
2022-10-27,130.43142316758983
2022-10-28,132.0323349207726
2022-10-31,136.59411269219055
2022-11-01,138.04072616483268
2022-11-02,139.45661855802743
2022-11-03,140.84666933166167
2022-11-04,142.2161190256538
